nr midi,,,
,,,komunikat
0,C,-2,
1,C#,-2,
2,D,-2,
3,D#,-2,
4,E,-2,
5,F,-2,
6,F#,-2,
7,G,-2,
8,G#,-2,
9,A,-2,
10,A#,-2,
11,B,-2,
12,C,-1,
13,C#,-1,
14,D,-1,
15,D#,-1,
16,E,-1,
17,F,-1,
18,F#,-1,
19,G,-1,
20,G#,-1,
21,A,-1,
22,A#,-1,
23,B,-1,
24,C,0,
25,C#,0,
26,D,0,
27,D#,0,
28,E,0,
29,F,0,
30,F#,0,
31,G,0,
32,G#,0,
33,A,0,
34,A#,0,
35,B,0,
36,C,1,
37,C#,1,
38,D,1,
39,D#,1,
40,E,1,
41,F,1,
42,F#,1,
43,G,1,
44,G#,1,
45,A,1,
46,A#,1,
47,B,1,
48,C,2,zwrotka
49,C#,2,refren
50,D,2,bridge
51,D#,2,solo
52,E,2,coda
53,F,2,koniec
54,F#,2,intro
55,G,2,łącznik
56,G#,2,modulacja
57,A,2,druga część
58,A#,2,special
59,B,2,rozmycie
60,C,3,piano
61,C#,3,bębny
62,D,3,gitara
63,D#,3,bas
64,E,3,saksofon
65,F,3,dęciaki
66,F#,3,wokal
67,G,3,instrumental
68,G#,3,break
69,A,3,przedrefren
70,A#,3,akcenty
71,B,3,powtórka
72,C,4,chórki
73,C#,4,wszyscy
74,D,4,tutti
75,D#,4,forte
76,E,4,cicho
77,F,4,ciszej
78,F#,4,głośno
79,G,4,głośniej
80,G#,4,przyspieszenie
81,A,4,zwolnienie
82,A#,4,halftime
83,B,4,doubletime
84,C,5,zmiana tempa
85,C#,5,
86,D,5,
87,D#,5,
88,E,5,
89,F,5,
90,F#,5,
91,G,5,
92,G#,5,
93,A,5,
94,A#,5,
95,B,5,i
96,C,6,raz
97,C#,6,dwa
98,D,6,trzy
99,D#,6,cztery
100,E,6,pięć
101,F,6,sześć
102,F#,6,siedem
103,G,6,osiem
104,G#,6,
105,A,6,
106,A#,6,
107,B,6,
108,C,7,
109,C#,7,
110,D,7,
111,D#,7,
112,E,7,
113,F,7,
114,F#,7,
115,G,7,
116,G#,7,
117,A,7,
118,A#,7,
119,B,7,
120,C,8,
121,C#,8,
122,D,8,
123,D#,8,
124,E,8,
125,F,8,
126,F#,8,
127,G,8,